date,rate,symbol
1/1/2010,4.69,MRT
1/1/2011,4.45,MRT
1/1/2012,3.66,MRT
1/1/2013,3.98,MRT
1/1/2014,4.17,MRT
1/1/2015,3.85,MRT
1/1/2016,3.65,MRT
1/1/2017,3.99,MRT
1/1/2018,4.54,MRT
1/1/2019,3.94,MRT
1/1/2020,3.11,MRT
1/1/2021,2.96,MRT
1/1/2022,5.34,MRT
1/1/2010,3.2,INTR
1/1/2011,2.8,INTR
1/1/2012,1.8,INTR
1/1/2013,2.4,INTR
1/1/2014,2.5,INTR
1/1/2015,2.1,INTR
1/1/2016,1.8,INTR
1/1/2017,2.3,INTR
1/1/2018,2.9,INTR
1/1/2019,2.1,INTR
1/1/2020,0.9,INTR
1/1/2021,1.5,INTR
1/1/2022,3,INTR
